id;eventname;hostname;traptime;i2;e2;h2;t2;formatline;fl2
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934155;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:17:49";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306298880"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934154;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:17:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306298880"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934153;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:17:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306298880"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934152;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:17:49";"1 0";"Link down on interface 306298880.  Admin state: $2.  Operational state: $3 "
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934031;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:16:44";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934030;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:16:44";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934029;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:16:44";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306266112"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934028;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:16:44";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934026;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:16:44";"1 0";"Link down on interface 306266112.  Admin state: $2.  Operational state: $3 "
10934091;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:17:14";10934027;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:16:44";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
